#Lalpha Full_sample Full_sample_err SF_sSFR SF_sSFR_err SF_BPT_WHAN SF_BPT_WHAN_err LINERs LINERs_err Composite Composite_err Seyferts Seyferts_err Passive Passive_err
39.9  -2.148  0.019 -2.276  0.066 -2.387  0.028 -3.119  0.054  -2.919    0.045 -3.971    0.131 -3.762  0.065
40.1  -2.191  0.031 -2.277  0.055 -2.445  0.026 -3.341  0.032  -2.773    0.074 -3.860   0.085  -4.063  0.057
40.3  -2.244  0.049 -2.320  0.054 -2.434  0.011 -3.492   0.032 -2.903    0.041 -3.797  0.130  -4.146 0.065
40.5  -2.305  0.106 -2.360  0.054 -2.508  0.061 -3.636  0.056  -2.932    0.049 -3.943  0.099  -4.494  0.031
40.7  -2.353  0.058 -2.393  0.036 -2.489  0.023 -3.872 0.035   -3.140    0.049 -3.945  0.123  -4.790  0.034
40.9  -2.500  0.040 -2.531  0.040 -2.633  0.013 -4.092  0.048  -3.276    0.036 -3.989  0.140 -5.113   0.035
41.1  -2.653  0.043 -2.675  0.040 -2.772  0.021 -4.415  0.041 -3.444     0.029 -4.214  0.142 -5.384  0.064
41.3 -2.833  0.039 -2.851  0.040 -2.931   0.021 -4.758   0.048 -3.714    0.041  -4.341  0.124 -6.009  0.044
41.5 -3.044  0.058 -3.057  0.040 -3.139   0.020 -5.183   0.045  -3.901   0.025  -4.563   0.145 -6.589  0.036
41.7 -3.299  0.040 -3.308  0.042 -3.393  0.020 -5.565  0.050 -4.219     0.038  -4.635   0.143 -7.191  0.063
41.9 -3.554  0.052 -3.559  0.037 -3.635  0.017 -6.237  0.035 -4.491     0.043  -5.032  0.162   999   999
42.1 -3.849  0.050 -3.854  0.043 -3.932  0.026 -6.681  0.055 -4.828     0.052 -5.152   0.047  999 999
42.3 -4.213  0.052 -4.216  0.039 -4.296  0.010 -7.253  0.204 -5.126     0.053 -5.690   0.144  999 999
42.5 -4.610  0.041 -4.612  0.042 -4.696  0.019 -8.106  0.204 -5.519     0.037 -6.124  0.150 999 999
42.7 -5.000  0.045 -5.001  0.053 -5.096  0.009 -8.072  0.204 -5.896     0.077 -6.395  0.156 999 999
42.9  -5.454 0.021 -5.454   0.057 -5.558  0.035  999   999  -6.269     0.074 -6.725  0.133  999 999
43.1 -6.011  0.021 -6.022   0.022 -6.078  0.037  999   999  -7.115     0.109 -8.069  0.217  999 999
43.3 -6.407  0.019 -6.407   0.036 -6.574  0.057  999   999   -6.961    0.057 -7.793  0.008  999 999
43.5 -7.075   0.217 -7.075  0.097 -7.125  0.034  999    999  -8.039    0.217 -8.039  0.217  999 999
