Galaxy	M_bull (+, -)	Ref.	sigma	log L_V	M_bulge	Ref.	 r_inf	Morph.	D	Method	
	( M_sun)		( km s^-1)		( M_sun)		(")		(Mpc)		
Milky Way^a	4.1 (0.6,0.6) e6	1,2	103 +or- 20				43	S	0.008	stars	
A1836-BCG	3.9 (0.4,0.6) e9	3	288 +or- 14	11.26 +or- 0.06			0.27	E (C)	157.5	gas	
A3565-BCG	1.4 (0.3,0.2) e9	3	322 +or- 16	11.24 +or- 0.06			0.22	E (C)	54.4	gas	
Circinus	1.7 (0.4,0.3) e6	4	158 +or- 18				0.02	S	4.0	masers	
IC 1459^b	2.8 (1.1,1.2) e9	5	315 +or- 16	10.96 +or- 0.06	3.07e11	45	0.81	E (C)	30.9	stars	
N221 (M32)^y	2.6 (0.5,0.5) e6	6	75 +or- 3	8.52 +or- 0.02	7.62e8	45	0.57	E (I)	0.73	stars	
N224 (M31)^y	1.4 (0.8,0.3) e8	7	160 +or- 8				6.5	S	0.73	stars	
N524^w	8.6 (1.0,0.4) e8	8	235 +or- 12	10.62 +or- 0.04			0.57	S0 (C)	24.2	stars	
N821^w	1.7 (0.7,0.7) e8	9	209 +or- 10	10.36 +or- 0.05	1.92e11	9	0.14	E (I)	23.4	stars	
N1023^w	4.0 (0.4,0.4) e7	10	205 +or- 10	10.06 +or- 0.11	6.49e10	45	0.08	S0 (pl)	10.5	stars	
N1194^c	6.8 (0.3,0.3) e7	11	148^+26_-22				0.05	S0	55.5	masers	
N1300	7.1 (3.4,1.8) e7	12	218 +or- 10				0.07	S	20.1	gas	
N1316^x	1.7 (0.3,0.3) e8	13	226 +or- 11	11.18 +or- 0.05			0.14	E (I)	21.0	stars	
N1332^w	1.5 (0.2,0.2) e9	14	328 +or- 16	10.16 +or- 0.05			0.54	S0 (pl)	22.7	stars	
N1374^b,^x	5.9 (0.6,0.5) e8	15	174 +or- 9	10.10 +or- 0.05	5.79e10	15	0.89	E (C)	19.6	stars	
N1399^b,^d,^x	5.1 (0.6,0.7) e8	16	296 +or- 15	10.78 +or- 0.04	3.98e11	46	0.25	E (C)	20.9	stars	
N1399^b,^d,^x	1.3 (0.5,0.7) e9	17	296 +or- 15	10.78 +or- 0.04	3.98e11	46	0.63	E (C)	20.9	stars	
N1407^b,^w	4.7 (0.7,0.5) e9	15	274 +or- 14	11.05 +or- 0.05	1.00e12	15	1.9	E (C)	29.0	stars	
N1550^b	3.9 (0.7,0.7) e9	15	289 +or- 14	10.87 +or- 0.05			0.78	E (I)	53.0	stars	
N2273^c	7.8 (0.4,0.4) e6	11	144^+18_-15				0.01	S	26.8	masers	
N2549^w	1.4 (0.1,0.4) e7	8	145 +or- 7	9.55 +or- 0.04	1.99e10	8	0.05	S0 (pl)	12.7	stars	
N2787^w	4.1 (0.4,0.5) e7	18	189 +or- 9				0.14	S0 (pl)	7.5	gas	
N2960^c	1.21 (0.05,0.05) e7	11	166^+16_-15				0.01	S	75.3	masers	
N3031 (M81)	8.0 (2.0,1.1) e7	19	143 +or- 7				0.85	S	4.1	gas	
N3091	3.7 (0.1,0.5) e9	15	307 +or- 15	11.00 +or- 0.05			0.66	E (C)	52.7	stars	
N3115^w	8.9 (5.1,2.7) e8	20	230 +or- 11	10.34 +or- 0.02	1.57e11	45	1.6	S0 (pl)	9.5	stars	
N3227	1.5 (0.5,0.8) e7	21	133 +or- 12				0.04	S	17.0	stars	
N3245^w	2.1 (0.5,0.6) e8	22	205 +or- 10		7.00e10	45	0.21	S0 (pl)	21.5	gas	
N3368^w	7.6 (1.6,1.5) e6	23	122^+28_-24				0.04	S	10.6	stars	
N3377^w	1.8 (0.9,0.9) e8	9	145 +or- 7	9.93 +or- 0.04	2.35e10	9	0.69	E (pl)	11.0	stars	
N3379 (M105)^w	4.2 (1.0,1.1) e8	24	206 +or- 10	10.29 +or- 0.01	6.86e10	45	0.83	E (C)	10.7	stars	
N3384^w	1.1 (0.5,0.5) e7	9	143 +or- 7	9.89 +or- 0.09	1.90e10	9	0.04	S0 (pl)	11.5	stars	
N3393	3.3 (0.2,0.2) e7	25	148 +or- 10				0.03	S	53.6	masers	
N3489^w	6.0 (0.8,0.9) e6	23	100^+15_-11				0.04	S0	12.0	stars	
N3585^w	3.3 (1.5,0.6) e8	26	213 +or- 10	10.66 +or- 0.08	1.60e11	26	0.31	S0 (I)	20.6	stars	
N3607^e,^w	1.4 (0.4,0.5) e8	26	229 +or- 11				0.10	E (C)	22.6	stars	
