#Full_sample Full_sample_err SF_sSFR SF_sSFR_err SF_BPT_WHAN SF_BPT_WHAN_err LINERs LINERs_err Composite Composite_err Seyferts Seyferts_err Passive Passive_err
-2.212   0.007 -2.354   0.035 -2.517   0.094 -3.106   0.031 -2.867   0.037 -3.856  0.068 -3.617   0.100
-2.228   0.063 -2.323   0.040 -2.446   0.021 -3.264   0.015 -2.925   0.042 -3.958   0.193 -3.842   0.039
—2.312   0.030 -2.390   0.037 -2.559   0.024 -3.411   0.052 -2.937   0.038 -3.808   0.069 -4.177   0.048
-2.474   0.046 -2.547   0.044 -2.685   0.016 -3.602   0.051 -3.167   0.034 -3.952   0.144 -4.407   0.050
-2.613   0.039 -2.672   0.040 -2.826   0.025 -3.803   0.030 -3.294   0.038 -3.903   0.149 -4.634   0.046
-2.833   0.047 -2.891   0.044 -3.043   0.011 -4.017   0.051 -3.524   0.041 -4.163   0.124 -5.023   0.020
-3.049   0.043 -3.101   0.042 -3.255   0.022 -4.309   0.050 -3.757   0.024 -4.236   0.148 -5.337   0.047
-3.308   0.046 -3.353   0.039 -3.514   0.013 -4.620   0.040 -3.994   0.037 -4.508   0.126 -5.969   0.065
-3.579   0.034 -3.622   0.041 -3.805   0.015 -4.962   0.042 -4.284   0.030 -4.557   0.133 -6.389   0.067
—3.889   0.045 -3.920   0.048 -4.136   0.005 -5.396   0.043 -4.593   0.041 -4.727   0.158 -6.733   0.111
-4.277   0.025 -4.305   0.041 -4.544   0.013 -5.929   0.079 -4.909   0.041 -5.152   0.139 -7.600   0.120
-4.612   0.054 -4.640   0.052 -4.933   0.013 -6.256   0.089 -5.212   0.025 -5.370   0.136  999.     999
-5.067   0.014 -5.095   0.033 -5.435   0.014 -6.913   0.011 -5.585   0.011 -5.818   0.124  999.     999
-5.580   0.057 -5.594   0.033 -5.975   0.003 -7.585   0.106 -6.112   0.065 -6.221   0.163  999.     999
-5.981   0.075 -6.018   0.071 -6.504   0.042 -8.106   0.204 -6.436   0.085 -6.620   0.166  999.     999
-6.447   0.094 -6.458   0.056 -6.767   0.048 -8.072   0.204 -6.953   0.110 -7.179   0.019  999.     999
-7.155   0.063 -7.155   0.131 -7.580   0.128  999.     999  -7.579   0.113 -7.761   0.217  999.     999
-7.391   0.119 -7.391   0.033 -7.814   0.204  999.     999   999.     999  -7.773   0.217  999.     999
999.     999   999.     999    999.     999   999.     999   999.     999   999.     999   999.     999
