#LOII Full_sample Full_sample_err SF_sSFR SF_sSFR_err SF_BPT_WHAN SF_BPT_WHAN_err LINERs LINERs_err Composite Composite_err Seyferts Seyferts_err Passive Passive_err
39.9 -2.239   0.025 -2.372   0.048 -2.572   0.058 -3.133   0.056 -2.818   0.043 -4.019   0.124 -3.715   0.049
40.1 -2.279   0.038 -2.399   0.034 -2.539   0.018 -3.173   0.005 -2.990   0.035 -3.894   0.175 -3.892   0.040
40.3 -2.365   0.037 -2.468   0.038 -2.559   0.009 -3.331   0.060 -3.143   0.045 -3.965   0.164 -4.076   0.026
40.5 -2.469   0.034 -2.548   0.035 -2.652   0.019 -3.558   0.046 -3.297   0.043 -4.039   0.127 -4.189   0.045
40.7 —2.617   0.035 -2.684   0.041 -2.794   0.026 -3.757   0.028 -3.453   0.042 -4.039   0.103 -4.549   0.031
40.9 -2.773   0.044 -2.833   0.040 -2.920   0.018 -3.943   0.044 -3.692   0.039 -4.224   0.142 -4.770   0.035
41.1 -2.933   0.044 -2.981   0.042 -3.067   0.021 -4.213   0.042 -3.858   0.046 -4.384   0.129 -5.146   0.035
41.3 -3.143   0.044 -3.189   0.040 -3.256   0.015 -4.481   0.038 -4.222   0.039 -4.545   0.154 -5.484   0.061
41.5 -3.398   0.043 -3.435   0.042 -3.500   0.013 -4.793   0.039 -4.495   0.038 -4.759   0.140 -5.885   0.031
41.7 -3.627   0.052 -3.554   0.047 -3.712   0.025 -5.140   0.036 -4.819   0.037 -4.961   0.112 -6.375   0.029
41.9 -3.899   0.047 -3.920   0.039 -3.971   0.014 -5.588   0.039 -5.115   0.042 -5.318   0.164 -6.908   0.118
42.1 -4.138   0.059 -4.152   0.014 -4.192   0.025 -6.068   0.032 -5.526   0.038 -5.598   0.123 -7.318   0.115
42.3 -4.490   0.041 -4.503   0.055 -4.540   0.018 -6.523   0.050 -5.922   0.041 -5.965   0.159 -7.913   0.204
42.5 -4.823   0.052 -4.832   0.067 -4.881   0.023 -6.997   0.081 -6.218   0.032 -6.246   0.066  999.    999
42.7 -5.095   0.031 -5.102   0.078 -5.131   0.062 -7.910   0.204 -6.770   0.078 -6.678   0.138  999.    999
42.9 -5.597   0.067 -5.605   0.033 -5.668   0.057  999.    999   -6.667   0.149 -7.133   0.017  999.    999
43.1 -5.786   0.096 -5.795   0.068 -5.809   0.093 -8.072   0.204 -8.128   0.188 -7.371   0.217  999.    999
43.3 -6.148   0.177 -6.148   0.028 -6.172   0.024  999.    999   -7.985   0.188 -7.561   0.094  999.    999
43.5 -6.769   0.005 -6.769   0.093 -6.901   0.078  999     999   -7.349   0.188  999      999   999.    999     
